"date","time","size","version","os","country","ip_id"
"2021-12-01","12:25:21",89772078,"4.1.2","win",NA,1
"2021-12-01","12:25:20",89876807,"4.1.2","win",NA,1
"2021-12-01","12:24:42",89772074,"4.1.2","win","US",2
"2021-12-01","12:25:36",89883629,"4.1.2","win","CN",3
"2021-12-01","12:25:36",34048259,"4.1.2","src","GB",4
"2021-12-01","12:26:06",91168335,"4.1.2","osx","VN",5
"2021-12-01","12:26:57",89772079,"4.1.2","win","PL",6
"2021-12-01","12:26:40",89871712,"4.1.2","win","DE",7
"2021-12-01","12:26:38",89879597,"4.1.2","win","NL",8
"2021-12-01","12:27:04",89874321,"4.1.2","win","IN",9
"2021-12-01","12:27:10",90825168,"4.1.2","osx","US",10
"2021-12-01","12:27:07",90825179,"4.1.2","osx","US",11
"2021-12-01","12:27:31",89874504,"4.1.2","win","FR",12
"2021-12-01","12:27:22",89874818,"4.1.2","win","TN",13
"2021-12-01","12:27:27",90825178,"4.1.2","osx","US",14
"2021-12-01","12:27:34",90825178,"4.1.2","osx","US",15
"2021-12-01","12:27:37",89772079,"4.1.2","win","DK",16
"2021-12-01","12:27:45",89875493,"4.1.2","win","ES",17
"2021-12-01","12:27:07",90825179,"4.1.2","osx","US",18
"2021-12-01","12:28:02",89872378,"4.1.2","win","BR",19
"2021-12-01","12:28:02",66213163,"4.1.2","win","CN",20
"2021-12-01","12:28:07",88079136,"4.0.2","osx","US",21
"2021-12-01","12:27:27",90825179,"4.1.2","osx","US",18
"2021-12-01","12:28:15",89892533,"4.1.2","win","NO",22
"2021-12-01","12:28:22",89772074,"4.1.2","win","US",23
"2021-12-01","12:28:24",90825178,"4.1.2","osx","US",15
"2021-12-01","12:28:18",89772068,"4.1.2","win",NA,1
"2021-12-01","12:28:27",90825178,"4.1.2","osx","US",24
"2021-12-01","12:28:26",86429662,"3.6.3","win","US",25
"2021-12-01","12:27:10",89772074,"4.1.2","win","US",26
"2021-12-01","12:29:21",89882882,"4.1.2","win","KR",27
"2021-12-01","12:29:21",89772079,"4.1.2","win","DK",28
"2021-12-01","12:29:25",89772075,"4.1.2","win","KR",29
"2021-12-01","12:29:27",2207615,"4.1.2","win","TN",13
"2021-12-01","12:29:34",90825178,"4.1.2","osx","US",15
"2021-12-01","12:29:41",90825178,"4.1.2","osx","US",21
"2021-12-01","12:29:27",89878005,"4.1.2","win","NL",30
"2021-12-01","12:29:42",90940376,"4.1.2","osx",NA,1
"2021-12-01","19:10:03",14531,"3.5.0","osx","US",31
"2021-12-01","19:09:58",89772068,"4.1.2","win","US",32
"2021-12-01","19:09:54",14548,"3.4.4","osx","US",33
"2021-12-01","19:09:52",89871549,"4.1.2","win","US",34
"2021-12-01","19:10:15",89875203,"4.1.2","win","PL",35
"2021-12-01","19:10:24",17205987,"4.1.2","win",NA,1
"2021-12-01","19:10:26",89876213,"4.1.2","win",NA,1
"2021-12-01","19:10:26",89772068,"4.1.2","win","US",36
"2021-12-01","19:10:27",14522,"3.6.0","osx","US",37
"2021-12-01","19:10:38",89871289,"4.1.2","win","EC",38
"2021-12-01","19:10:38",90825178,"4.1.2","osx","US",39
"2021-12-01","19:10:38",89772074,"4.1.2","win","US",40
"2021-12-01","19:10:39",90825178,"4.1.2","osx","US",39
"2021-12-01","19:10:32",89772071,"4.1.2","win","US",41
"2021-12-01","19:10:43",14515,"3.6.3.nn","osx","US",42
"2021-12-01","19:10:47",90825177,"4.1.2","osx","US",43
"2021-12-01","19:10:43",89772074,"4.1.2","win","US",44
"2021-12-01","19:10:47",89772073,"4.1.2","win","US",45
"2021-12-01","19:10:52",89872684,"4.1.2","win","MX",46
"2021-12-01","19:10:56",86429666,"3.6.3","win","US",47
"2021-12-01","19:10:54",90825168,"4.1.2","osx","US",48
"2021-12-01","19:10:56",89772073,"4.1.2","win","US",49
"2021-12-01","19:11:15",90929511,"4.1.2","osx","US",50
"2021-12-01","19:10:43",89416539,"4.0.5","osx","US",51
"2021-12-01","19:11:22",90548850,"4.1.1","osx","US",52
"2021-12-01","19:11:26",90825175,"4.1.2","osx","US",53
"2021-12-01","19:11:29",89416535,"4.0.5","osx","US",15
"2021-12-01","19:11:24",89772074,"4.1.2","win","US",54
"2021-12-01","19:11:39",89881630,"4.1.2","win","PT",55
"2021-12-01","19:11:39",1950767,"4.0.3","osx","CO",56
"2021-12-01","19:11:44",89875346,"4.1.2","win","DO",57
"2021-12-01","19:11:56",90930600,"4.1.2","osx","US",58
"2021-12-01","19:12:01",89879246,"4.1.2","win",NA,1
"2021-12-01","19:12:09",33497545,"4.0.3","src","BR",59
"2021-12-01","19:11:48",90825168,"4.1.2","osx","US",60
"2021-12-01","19:12:04",89874125,"4.1.2","win","BR",61
"2021-12-01","19:10:14",90926572,"4.1.2","osx","US",62
"2021-12-01","19:12:10",81155054,"3.6.3.nn","osx","US",63
"2021-12-01","19:12:07",89876975,"4.1.2","win",NA,1
"2021-12-01","19:12:27",74980205,"3.3.3","osx","US",63
"2021-12-01","19:12:47",89772074,"4.1.2","win","US",64
"2021-12-01","19:12:46",90825168,"4.1.2","osx","US",65
"2021-12-01","19:12:54",90931532,"4.1.2","osx",NA,1
"2021-12-01","19:11:13",89772074,"4.1.2","win","US",66
"2021-12-01","19:12:56",89772073,"4.1.2","win","US",67
"2021-12-01","19:12:56",90825178,"4.1.2","osx","US",39
"2021-12-01","19:12:47",77528778,"devel","win","US",68
"2021-12-01","19:13:05",89880183,"4.1.2","win","GB",69
"2021-12-01","19:12:48",88582786,"4.0.5","win","US",70
"2021-12-01","19:13:26",89772073,"4.1.2","win","US",71
"2021-12-01","19:13:29",89772073,"4.1.2","win","US",72
"2021-12-01","19:13:43",3757340,"4.1.2","win","MA",73
"2021-12-01","19:13:39",89772074,"4.1.2","win","US",74
"2021-12-01","19:14:02",90932737,"4.1.2","osx","CH",75
"2021-12-01","19:12:02",90825168,"4.1.2","osx","US",18
"2021-12-01","19:14:11",89890167,"4.1.2","win","IN",76
"2021-12-01","19:13:30",89772073,"4.1.2","win","US",77
"2021-12-01","19:14:17",89772078,"4.1.2","win","US",78
"2021-12-01","19:12:12",89772078,"4.1.2","win",NA,1
"2021-12-01","19:14:21",90825178,"4.1.2","osx","US",15
"2021-12-01","19:14:18",88688053,"4.0.3","osx","CO",56
"2021-12-01","19:13:40",1048670,"4.1.2","win","MA",73
"2021-12-01","19:14:45",305280,"4.1.2","osx","US",79
"2021-12-01","19:14:42",86429666,"3.6.3","win","US",71
"2021-12-01","19:12:53",89772070,"4.1.2","win","US",80
"2021-12-01","19:12:46",90825177,"4.1.2","osx","US",18
"2021-12-01","19:13:24",89772073,"4.1.2","win","US",81
"2021-12-01","21:14:29",89871595,"4.1.2","win",NA,1
"2021-12-01","21:15:06",91166437,"4.1.2","osx","US",82
"2021-12-01","21:15:12",90825177,"4.1.2","osx","US",21
"2021-12-01","21:15:17",90927468,"4.1.2","osx",NA,1
"2021-12-01","21:15:36",90825178,"4.1.2","osx","US",21
"2021-12-01","21:15:32",86429666,"3.6.3","win","US",83
"2021-12-01","21:15:43",81153482,"3.6.3.nn","osx","CA",84
"2021-12-01","21:15:44",81149962,"3.6.3.nn","osx","NG",85
"2021-12-01","21:15:50",90825178,"4.1.2","osx","US",15
"2021-12-01","21:16:03",89416539,"4.0.5","osx","US",86
"2021-12-01","21:16:11",89772074,"4.1.2","win","US",87
